Physics Running																																																										
HB	HE	HE	HE	HE	HE	HE	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF
3355	3355	1677	671	671	1677	3355	1026	890	747	697	585	491	413	346	290	232	194	163	128	1026	890	747	697	585	491	413	346	290	232	194	163	128	1026	890	747	697	585	491	413	346	290	232	194	163	128	1026	890	747	697	585	491	413	346	290	232	194	163	128
3480	3480	1740	696	696	1740	3480	1064	923	775	723	607	510	428	359	301	241	202	169	133	1064	923	775	723	607	510	428	359	301	241	202	169	133	1064	923	775	723	607	510	428	359	301	241	202	169	133	1064	923	775	723	607	510	428	359	301	241	202	169	133
3605	3605	1802	721	721	1802	3605	1102	956	803	749	629	528	444	372	312	249	209	175	138	1102	956	803	749	629	528	444	372	312	249	209	175	138	1102	956	803	749	629	528	444	372	312	249	209	175	138	1102	956	803	749	629	528	444	372	312	249	209	175	138
3793	3793	1896	758	758	1896	3793	1159	1006	845	788	662	556	467	391	328	262	220	184	145	1159	1006	845	788	662	556	467	391	328	262	220	184	145	1159	1006	845	788	662	556	467	391	328	262	220	184	145	1159	1006	845	788	662	556	467	391	328	262	220	184	145
4043	4043	2021	808	808	2021	4043	1236	1072	900	840	705	592	497	417	350	279	234	196	155	1236	1072	900	840	705	592	497	417	350	279	234	196	155	1236	1072	900	840	705	592	497	417	350	279	234	196	155	1236	1072	900	840	705	592	497	417	350	279	234	196	155
4293	4293	2146	858	858	2146	4293	1312	1138	956	892	749	629	528	443	372	297	249	209	164	1312	1138	956	892	749	629	528	443	372	297	249	209	164	1312	1138	956	892	749	629	528	443	372	297	249	209	164	1312	1138	956	892	749	629	528	443	372	297	249	209	164
4543	4543	2271	908	908	2271	4543	1389	1204	1012	944	793	665	559	469	393	314	263	221	174	1389	1204	1012	944	793	665	559	469	393	314	263	221	174	1389	1204	1012	944	793	665	559	469	393	314	263	221	174	1389	1204	1012	944	793	665	559	469	393	314	263	221	174
4793	4793	2396	958	958	2396	4793	1465	1271	1067	996	836	702	590	494	415	331	278	233	184	1465	1271	1067	996	836	702	590	494	415	331	278	233	184	1465	1271	1067	996	836	702	590	494	415	331	278	233	184	1465	1271	1067	996	836	702	590	494	415	331	278	233	184
5043	5043	2521	1008	1008	2521	5043	1541	1337	1123	1048	880	739	620	520	437	349	292	245	193	1541	1337	1123	1048	880	739	620	520	437	349	292	245	193	1541	1337	1123	1048	880	739	620	520	437	349	292	245	193	1541	1337	1123	1048	880	739	620	520	437	349	292	245	193
5293	5293	2646	1058	1058	2646	5293	1618	1403	1179	1100	923	775	651	546	458	366	307	257	203	1618	1403	1179	1100	923	775	651	546	458	366	307	257	203	1618	1403	1179	1100	923	775	651	546	458	366	307	257	203	1618	1403	1179	1100	923	775	651	546	458	366	307	257	203
5605	5605	2802	1121	1121	2802	5605	1713	1486	1248	1165	978	821	690	578	485	388	325	272	215	1713	1486	1248	1165	978	821	690	578	485	388	325	272	215	1713	1486	1248	1165	978	821	690	578	485	388	325	272	215	1713	1486	1248	1165	978	821	690	578	485	388	325	272	215
5980	5980	2990	1196	1196	2990	5980	1828	1585	1332	1242	1043	876	736	617	518	414	347	291	229	1828	1585	1332	1242	1043	876	736	617	518	414	347	291	229	1828	1585	1332	1242	1043	876	736	617	518	414	347	291	229	1828	1585	1332	1242	1043	876	736	617	518	414	347	291	229
6355	6355	3177	1271	1271	3177	6355	1942	1685	1415	1320	1109	931	782	656	550	439	368	309	244	1942	1685	1415	1320	1109	931	782	656	550	439	368	309	244	1942	1685	1415	1320	1109	931	782	656	550	439	368	309	244	1942	1685	1415	1320	1109	931	782	656	550	439	368	309	244
6730	6730	3365	1346	1346	3365	6730	2057	1784	1498	1398	1174	986	828	694	583	465	390	327	258	2057	1784	1498	1398	1174	986	828	694	583	465	390	327	258	2057	1784	1498	1398	1174	986	828	694	583	465	390	327	258	2057	1784	1498	1398	1174	986	828	694	583	465	390	327	258
7168	7168	3584	1433	1433	3584	7168	2190	1900	1596	1489	1250	1050	882	739	621	496	415	348	275	2190	1900	1596	1489	1250	1050	882	739	621	496	415	348	275	2190	1900	1596	1489	1250	1050	882	739	621	496	415	348	275	2190	1900	1596	1489	1250	1050	882	739	621	496	415	348	275
7668	7668	3834	1533	1533	3834	7668	2343	2032	1707	1593	1338	1123	943	791	664	530	444	373	294	2343	2032	1707	1593	1338	1123	943	791	664	530	444	373	294	2343	2032	1707	1593	1338	1123	943	791	664	530	444	373	294	2343	2032	1707	1593	1338	1123	943	791	664	530	444	373	294
8168	8168	4084	1633	1633	4084	8168	2496	2165	1818	1697	1425	1196	1005	843	707	565	473	397	313	2496	2165	1818	1697	1425	1196	1005	843	707	565	473	397	313	2496	2165	1818	1697	1425	1196	1005	843	707	565	473	397	313	2496	2165	1818	1697	1425	1196	1005	843	707	565	473	397	313
8730	8730	4365	1746	1746	4365	8730	2668	2314	1944	1814	1523	1279	1074	901	756	604	506	425	335	2668	2314	1944	1814	1523	1279	1074	901	756	604	506	425	335	2668	2314	1944	1814	1523	1279	1074	901	756	604	506	425	335	2668	2314	1944	1814	1523	1279	1074	901	756	604	506	425	335
9355	9355	4677	1871	1871	4677	9355	2859	2480	2083	1944	1632	1370	1151	965	810	647	542	455	359	2859	2480	2083	1944	1632	1370	1151	965	810	647	542	455	359	2859	2480	2083	1944	1632	1370	1151	965	810	647	542	455	359	2859	2480	2083	1944	1632	1370	1151	965	810	647	542	455	359
9980	9980	4990	1996	1996	4990	9980	3050	2645	2222	2073	1741	1462	1228	1030	864	690	579	485	383	3050	2645	2222	2073	1741	1462	1228	1030	864	690	579	485	383	3050	2645	2222	2073	1741	1462	1228	1030	864	690	579	485	383	3050	2645	2222	2073	1741	1462	1228	1030	864	690	579	485	383
