#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1              42               1              HB  0.0013910  0.0013910  0.0013910  0.0013910   4310042A
               -1              42               2              HB  0.0006986  0.0006986  0.0006986  0.0006986   4320042A
               -1              42               3              HB  0.0006484  0.0006484  0.0006484  0.0006484   4330042A
               -1              42               4              HB  0.0005211  0.0005211  0.0005211  0.0005211   4340042A
               -2              42               1              HB  0.0012508  0.0012508  0.0012508  0.0012508   4310082A
               -2              42               2              HB  0.0006324  0.0006324  0.0006324  0.0006324   4320082A
               -2              42               3              HB  0.0006617  0.0006617  0.0006617  0.0006617   4330082A
               -2              42               4              HB  0.0005056  0.0005056  0.0005056  0.0005056   4340082A
               -3              42               1              HB  0.0012193  0.0012193  0.0012193  0.0012193   43100C2A
               -3              42               2              HB  0.0005955  0.0005955  0.0005955  0.0005955   43200C2A
               -3              42               3              HB  0.0005873  0.0005873  0.0005873  0.0005873   43300C2A
               -3              42               4              HB  0.0005154  0.0005154  0.0005154  0.0005154   43400C2A
               -4              42               1              HB  0.0013314  0.0013314  0.0013314  0.0013314   4310102A
               -4              42               2              HB  0.0006345  0.0006345  0.0006345  0.0006345   4320102A
               -4              42               3              HB  0.0005255  0.0005255  0.0005255  0.0005255   4330102A
               -4              42               4              HB  0.0005139  0.0005139  0.0005139  0.0005139   4340102A
               -5              42               1              HB  0.0011482  0.0011482  0.0011482  0.0011482   4310142A
               -5              42               2              HB  0.0007027  0.0007027  0.0007027  0.0007027   4320142A
               -5              42               3              HB  0.0005736  0.0005736  0.0005736  0.0005736   4330142A
               -5              42               4              HB  0.0004836  0.0004836  0.0004836  0.0004836   4340142A
               -6              42               1              HB  0.0012683  0.0012683  0.0012683  0.0012683   4310182A
               -6              42               2              HB  0.0005851  0.0005851  0.0005851  0.0005851   4320182A
               -6              42               3              HB  0.0005427  0.0005427  0.0005427  0.0005427   4330182A
               -6              42               4              HB  0.0005079  0.0005079  0.0005079  0.0005079   4340182A
               -7              42               1              HB  0.0011654  0.0011654  0.0011654  0.0011654   43101C2A
               -7              42               2              HB  0.0005968  0.0005968  0.0005968  0.0005968   43201C2A
               -7              42               3              HB  0.0005946  0.0005946  0.0005946  0.0005946   43301C2A
               -7              42               4              HB  0.0004315  0.0004315  0.0004315  0.0004315   43401C2A
               -8              42               1              HB  0.0013712  0.0013712  0.0013712  0.0013712   4310202A
               -8              42               2              HB  0.0006626  0.0006626  0.0006626  0.0006626   4320202A
               -8              42               3              HB  0.0006419  0.0006419  0.0006419  0.0006419   4330202A
               -8              42               4              HB  0.0004691  0.0004691  0.0004691  0.0004691   4340202A
               -9              42               1              HB  0.0013226  0.0013226  0.0013226  0.0013226   4310242A
               -9              42               2              HB  0.0006052  0.0006052  0.0006052  0.0006052   4320242A
               -9              42               3              HB  0.0005442  0.0005442  0.0005442  0.0005442   4330242A
               -9              42               4              HB  0.0004047  0.0004047  0.0004047  0.0004047   4340242A
              -10              42               1              HB  0.0011629  0.0011629  0.0011629  0.0011629   4310282A
              -10              42               2              HB  0.0005483  0.0005483  0.0005483  0.0005483   4320282A
              -10              42               3              HB  0.0004879  0.0004879  0.0004879  0.0004879   4330282A
              -10              42               4              HB  0.0004226  0.0004226  0.0004226  0.0004226   4340282A
              -11              42               1              HB  0.0011131  0.0011131  0.0011131  0.0011131   43102C2A
              -11              42               2              HB  0.0005927  0.0005927  0.0005927  0.0005927   43202C2A
              -11              42               3              HB  0.0005140  0.0005140  0.0005140  0.0005140   43302C2A
              -11              42               4              HB  0.0004172  0.0004172  0.0004172  0.0004172   43402C2A
              -12              42               1              HB  0.0012716  0.0012716  0.0012716  0.0012716   4310302A
              -12              42               2              HB  0.0006149  0.0006149  0.0006149  0.0006149   4320302A
              -12              42               3              HB  0.0005212  0.0005212  0.0005212  0.0005212   4330302A
              -12              42               4              HB  0.0004344  0.0004344  0.0004344  0.0004344   4340302A
              -13              42               1              HB  0.0013622  0.0013622  0.0013622  0.0013622   4310342A
              -13              42               2              HB  0.0006236  0.0006236  0.0006236  0.0006236   4320342A
              -13              42               3              HB  0.0005453  0.0005453  0.0005453  0.0005453   4330342A
              -13              42               4              HB  0.0003763  0.0003763  0.0003763  0.0003763   4340342A
              -14              42               1              HB  0.0012688  0.0012688  0.0012688  0.0012688   4310382A
              -14              42               2              HB  0.0005334  0.0005334  0.0005334  0.0005334   4320382A
              -14              42               3              HB  0.0004367  0.0004367  0.0004367  0.0004367   4330382A
              -14              42               4              HB  0.0003400  0.0003400  0.0003400  0.0003400   4340382A
              -15              42               1              HB  0.0010776  0.0010776  0.0010776  0.0010776   43103C2A
              -15              42               2              HB  0.0004594  0.0004594  0.0004594  0.0004594   43203C2A
              -15              42               3              HB  0.0003752  0.0003752  0.0003752  0.0003752   43303C2A
              -15              42               4              HB  0.0003480  0.0003480  0.0003480  0.0003480   43403C2A
              -16              42               1              HB  0.0008931  0.0008931  0.0008931  0.0008931   4310402A
              -16              42               2              HB  0.0005973  0.0005973  0.0005973  0.0005973   4320402A
              -16              42               3              HB  0.0003799  0.0003799  0.0003799  0.0003799   4330402A
               -1              43               1              HB  0.0010690  0.0010690  0.0010690  0.0010690   4310042B
               -1              43               2              HB  0.0007342  0.0007342  0.0007342  0.0007342   4320042B
               -1              43               3              HB  0.0005853  0.0005853  0.0005853  0.0005853   4330042B
               -1              43               4              HB  0.0005306  0.0005306  0.0005306  0.0005306   4340042B
               -2              43               1              HB  0.0012166  0.0012166  0.0012166  0.0012166   4310082B
               -2              43               2              HB  0.0007331  0.0007331  0.0007331  0.0007331   4320082B
               -2              43               3              HB  0.0005151  0.0005151  0.0005151  0.0005151   4330082B
               -2              43               4              HB  0.0004987  0.0004987  0.0004987  0.0004987   4340082B
               -3              43               1              HB  0.0010903  0.0010903  0.0010903  0.0010903   43100C2B
               -3              43               2              HB  0.0006586  0.0006586  0.0006586  0.0006586   43200C2B
               -3              43               3              HB  0.0004789  0.0004789  0.0004789  0.0004789   43300C2B
               -3              43               4              HB  0.0004264  0.0004264  0.0004264  0.0004264   43400C2B
               -4              43               1              HB  0.0009978  0.0009978  0.0009978  0.0009978   4310102B
               -4              43               2              HB  0.0006383  0.0006383  0.0006383  0.0006383   4320102B
               -4              43               3              HB  0.0005075  0.0005075  0.0005075  0.0005075   4330102B
               -4              43               4              HB  0.0004436  0.0004436  0.0004436  0.0004436   4340102B
               -5              43               1              HB  0.0009270  0.0009270  0.0009270  0.0009270   4310142B
               -5              43               2              HB  0.0007077  0.0007077  0.0007077  0.0007077   4320142B
               -5              43               3              HB  0.0004995  0.0004995  0.0004995  0.0004995   4330142B
               -5              43               4              HB  0.0004612  0.0004612  0.0004612  0.0004612   4340142B
               -6              43               1              HB  0.0008683  0.0008683  0.0008683  0.0008683   4310182B
               -6              43               2              HB  0.0008045  0.0008045  0.0008045  0.0008045   4320182B
               -6              43               3              HB  0.0005302  0.0005302  0.0005302  0.0005302   4330182B
               -6              43               4              HB  0.0003906  0.0003906  0.0003906  0.0003906   4340182B
               -7              43               1              HB  0.0009788  0.0009788  0.0009788  0.0009788   43101C2B
               -7              43               2              HB  0.0008195  0.0008195  0.0008195  0.0008195   43201C2B
               -7              43               3              HB  0.0005294  0.0005294  0.0005294  0.0005294   43301C2B
               -7              43               4              HB  0.0004677  0.0004677  0.0004677  0.0004677   43401C2B
               -8              43               1              HB  0.0009059  0.0009059  0.0009059  0.0009059   4310202B
               -8              43               2              HB  0.0008401  0.0008401  0.0008401  0.0008401   4320202B
               -8              43               3              HB  0.0005281  0.0005281  0.0005281  0.0005281   4330202B
               -8              43               4              HB  0.0004626  0.0004626  0.0004626  0.0004626   4340202B
               -9              43               1              HB  0.0010182  0.0010182  0.0010182  0.0010182   4310242B
               -9              43               2              HB  0.0007794  0.0007794  0.0007794  0.0007794   4320242B
               -9              43               3              HB  0.0004760  0.0004760  0.0004760  0.0004760   4330242B
               -9              43               4              HB  0.0005107  0.0005107  0.0005107  0.0005107   4340242B
              -10              43               1              HB  0.0008231  0.0008231  0.0008231  0.0008231   4310282B
              -10              43               2              HB  0.0006955  0.0006955  0.0006955  0.0006955   4320282B
              -10              43               3              HB  0.0004874  0.0004874  0.0004874  0.0004874   4330282B
              -10              43               4              HB  0.0004886  0.0004886  0.0004886  0.0004886   4340282B
              -11              43               1              HB  0.0007707  0.0007707  0.0007707  0.0007707   43102C2B
              -11              43               2              HB  0.0006757  0.0006757  0.0006757  0.0006757   43202C2B
              -11              43               3              HB  0.0004764  0.0004764  0.0004764  0.0004764   43302C2B
              -11              43               4              HB  0.0004624  0.0004624  0.0004624  0.0004624   43402C2B
              -12              43               1              HB  0.0008339  0.0008339  0.0008339  0.0008339   4310302B
              -12              43               2              HB  0.0006688  0.0006688  0.0006688  0.0006688   4320302B
              -12              43               3              HB  0.0004880  0.0004880  0.0004880  0.0004880   4330302B
              -12              43               4              HB  0.0004540  0.0004540  0.0004540  0.0004540   4340302B
              -13              43               1              HB  0.0008107  0.0008107  0.0008107  0.0008107   4310342B
              -13              43               2              HB  0.0005552  0.0005552  0.0005552  0.0005552   4320342B
              -13              43               3              HB  0.0004861  0.0004861  0.0004861  0.0004861   4330342B
              -13              43               4              HB  0.0003622  0.0003622  0.0003622  0.0003622   4340342B
              -14              43               1              HB  0.0007848  0.0007848  0.0007848  0.0007848   4310382B
              -14              43               2              HB  0.0005243  0.0005243  0.0005243  0.0005243   4320382B
              -14              43               3              HB  0.0004689  0.0004689  0.0004689  0.0004689   4330382B
              -14              43               4              HB  0.0003360  0.0003360  0.0003360  0.0003360   4340382B
              -15              43               1              HB  0.0008423  0.0008423  0.0008423  0.0008423   43103C2B
              -15              43               2              HB  0.0004743  0.0004743  0.0004743  0.0004743   43203C2B
              -15              43               3              HB  0.0003952  0.0003952  0.0003952  0.0003952   43303C2B
              -15              43               4              HB  0.0003353  0.0003353  0.0003353  0.0003353   43403C2B
              -16              43               1              HB  0.0007070  0.0007070  0.0007070  0.0007070   4310402B
              -16              43               2              HB  0.0005350  0.0005350  0.0005350  0.0005350   4320402B
              -16              43               3              HB  0.0003837  0.0003837  0.0003837  0.0003837   4330402B
               -1              44               1              HB  0.0016050  0.0016050  0.0016050  0.0016050   4310042C
               -1              44               2              HB  0.0006446  0.0006446  0.0006446  0.0006446   4320042C
               -1              44               3              HB  0.0005352  0.0005352  0.0005352  0.0005352   4330042C
               -1              44               4              HB  0.0004993  0.0004993  0.0004993  0.0004993   4340042C
               -2              44               1              HB  0.0101472  0.0101472  0.0101472  0.0101472   4310082C
               -2              44               2              HB  0.0006009  0.0006009  0.0006009  0.0006009   4320082C
               -2              44               3              HB  0.0005174  0.0005174  0.0005174  0.0005174   4330082C
               -2              44               4              HB  0.0004799  0.0004799  0.0004799  0.0004799   4340082C
               -3              44               1              HB  0.0015821  0.0015821  0.0015821  0.0015821   43100C2C
               -3              44               2              HB  0.0006471  0.0006471  0.0006471  0.0006471   43200C2C
               -3              44               3              HB  0.0005488  0.0005488  0.0005488  0.0005488   43300C2C
               -3              44               4              HB  0.0004540  0.0004540  0.0004540  0.0004540   43400C2C
               -4              44               1              HB  0.0016930  0.0016930  0.0016930  0.0016930   4310102C
               -4              44               2              HB  0.0006189  0.0006189  0.0006189  0.0006189   4320102C
               -4              44               3              HB  0.0005630  0.0005630  0.0005630  0.0005630   4330102C
               -4              44               4              HB  0.0004659  0.0004659  0.0004659  0.0004659   4340102C
               -5              44               1              HB  0.0013573  0.0013573  0.0013573  0.0013573   4310142C
               -5              44               2              HB  0.0006397  0.0006397  0.0006397  0.0006397   4320142C
               -5              44               3              HB  0.0005832  0.0005832  0.0005832  0.0005832   4330142C
               -5              44               4              HB  0.0004783  0.0004783  0.0004783  0.0004783   4340142C
               -6              44               1              HB  0.0015043  0.0015043  0.0015043  0.0015043   4310182C
               -6              44               2              HB  0.0005834  0.0005834  0.0005834  0.0005834   4320182C
               -6              44               3              HB  0.0005494  0.0005494  0.0005494  0.0005494   4330182C
               -6              44               4              HB  0.0004664  0.0004664  0.0004664  0.0004664   4340182C
               -7              44               1              HB  0.0014536  0.0014536  0.0014536  0.0014536   43101C2C
               -7              44               2              HB  0.0006074  0.0006074  0.0006074  0.0006074   43201C2C
               -7              44               3              HB  0.0005335  0.0005335  0.0005335  0.0005335   43301C2C
               -7              44               4              HB  0.0004792  0.0004792  0.0004792  0.0004792   43401C2C
               -8              44               1              HB  0.0032356  0.0032356  0.0032356  0.0032356   4310202C
               -8              44               2              HB  0.0006278  0.0006278  0.0006278  0.0006278   4320202C
               -8              44               3              HB  0.0005685  0.0005685  0.0005685  0.0005685   4330202C
               -8              44               4              HB  0.0004922  0.0004922  0.0004922  0.0004922   4340202C
               -9              44               1              HB  0.0012480  0.0012480  0.0012480  0.0012480   4310242C
               -9              44               2              HB  0.0005714  0.0005714  0.0005714  0.0005714   4320242C
               -9              44               3              HB  0.0005332  0.0005332  0.0005332  0.0005332   4330242C
               -9              44               4              HB  0.0004135  0.0004135  0.0004135  0.0004135   4340242C
              -10              44               1              HB  0.0011778  0.0011778  0.0011778  0.0011778   4310282C
              -10              44               2              HB  0.0005100  0.0005100  0.0005100  0.0005100   4320282C
              -10              44               3              HB  0.0004898  0.0004898  0.0004898  0.0004898   4330282C
              -10              44               4              HB  0.0004341  0.0004341  0.0004341  0.0004341   4340282C
              -11              44               1              HB  0.0013347  0.0013347  0.0013347  0.0013347   43102C2C
              -11              44               2              HB  0.0005507  0.0005507  0.0005507  0.0005507   43202C2C
              -11              44               3              HB  0.0005207  0.0005207  0.0005207  0.0005207   43302C2C
              -11              44               4              HB  0.0004371  0.0004371  0.0004371  0.0004371   43402C2C
              -12              44               1              HB  0.0014725  0.0014725  0.0014725  0.0014725   4310302C
              -12              44               2              HB  0.0006240  0.0006240  0.0006240  0.0006240   4320302C
              -12              44               3              HB  0.0004965  0.0004965  0.0004965  0.0004965   4330302C
              -12              44               4              HB  0.0004168  0.0004168  0.0004168  0.0004168   4340302C
              -13              44               1              HB  0.0012852  0.0012852  0.0012852  0.0012852   4310342C
              -13              44               2              HB  0.0006310  0.0006310  0.0006310  0.0006310   4320342C
              -13              44               3              HB  0.0005828  0.0005828  0.0005828  0.0005828   4330342C
              -13              44               4              HB  0.0003970  0.0003970  0.0003970  0.0003970   4340342C
              -14              44               1              HB  0.0012237  0.0012237  0.0012237  0.0012237   4310382C
              -14              44               2              HB  0.0005792  0.0005792  0.0005792  0.0005792   4320382C
              -14              44               3              HB  0.0004816  0.0004816  0.0004816  0.0004816   4330382C
              -14              44               4              HB  0.0003675  0.0003675  0.0003675  0.0003675   4340382C
              -15              44               1              HB  0.0016506  0.0016506  0.0016506  0.0016506   43103C2C
              -15              44               2              HB  0.0005079  0.0005079  0.0005079  0.0005079   43203C2C
              -15              44               3              HB  0.0004750  0.0004750  0.0004750  0.0004750   43303C2C
              -15              44               4              HB  0.0003433  0.0003433  0.0003433  0.0003433   43403C2C
              -16              44               1              HB  0.0007391  0.0007391  0.0007391  0.0007391   4310402C
              -16              44               2              HB  0.0005567  0.0005567  0.0005567  0.0005567   4320402C
              -16              44               3              HB  0.0004279  0.0004279  0.0004279  0.0004279   4330402C
               -1              45               1              HB  0.0011296  0.0011296  0.0011296  0.0011296   4310042D
               -1              45               2              HB  0.0006660  0.0006660  0.0006660  0.0006660   4320042D
               -1              45               3              HB  0.0007572  0.0007572  0.0007572  0.0007572   4330042D
               -1              45               4              HB  0.0006346  0.0006346  0.0006346  0.0006346   4340042D
               -2              45               1              HB  0.0011133  0.0011133  0.0011133  0.0011133   4310082D
               -2              45               2              HB  0.0006650  0.0006650  0.0006650  0.0006650   4320082D
               -2              45               3              HB  0.0006539  0.0006539  0.0006539  0.0006539   4330082D
               -2              45               4              HB  0.0006309  0.0006309  0.0006309  0.0006309   4340082D
               -3              45               1              HB  0.0011586  0.0011586  0.0011586  0.0011586   43100C2D
               -3              45               2              HB  0.0006312  0.0006312  0.0006312  0.0006312   43200C2D
               -3              45               3              HB  0.0006379  0.0006379  0.0006379  0.0006379   43300C2D
               -3              45               4              HB  0.0005987  0.0005987  0.0005987  0.0005987   43400C2D
               -4              45               1              HB  0.0010267  0.0010267  0.0010267  0.0010267   4310102D
               -4              45               2              HB  0.0006102  0.0006102  0.0006102  0.0006102   4320102D
               -4              45               3              HB  0.0005636  0.0005636  0.0005636  0.0005636   4330102D
               -4              45               4              HB  0.0005214  0.0005214  0.0005214  0.0005214   4340102D
               -5              45               1              HB  0.0010896  0.0010896  0.0010896  0.0010896   4310142D
               -5              45               2              HB  0.0006735  0.0006735  0.0006735  0.0006735   4320142D
               -5              45               3              HB  0.0005863  0.0005863  0.0005863  0.0005863   4330142D
               -5              45               4              HB  0.0004982  0.0004982  0.0004982  0.0004982   4340142D
               -6              45               1              HB  0.0009947  0.0009947  0.0009947  0.0009947   4310182D
               -6              45               2              HB  0.0007797  0.0007797  0.0007797  0.0007797   4320182D
               -6              45               3              HB  0.0005945  0.0005945  0.0005945  0.0005945   4330182D
               -6              45               4              HB  0.0005158  0.0005158  0.0005158  0.0005158   4340182D
               -7              45               1              HB  0.0011107  0.0011107  0.0011107  0.0011107   43101C2D
               -7              45               2              HB  0.0008141  0.0008141  0.0008141  0.0008141   43201C2D
               -7              45               3              HB  0.0006514  0.0006514  0.0006514  0.0006514   43301C2D
               -7              45               4              HB  0.0005375  0.0005375  0.0005375  0.0005375   43401C2D
               -8              45               1              HB  0.0009785  0.0009785  0.0009785  0.0009785   4310202D
               -8              45               2              HB  0.0007458  0.0007458  0.0007458  0.0007458   4320202D
               -8              45               3              HB  0.0006628  0.0006628  0.0006628  0.0006628   4330202D
               -8              45               4              HB  0.0005068  0.0005068  0.0005068  0.0005068   4340202D
               -9              45               1              HB  0.0012088  0.0012088  0.0012088  0.0012088   4310242D
               -9              45               2              HB  0.0006321  0.0006321  0.0006321  0.0006321   4320242D
               -9              45               3              HB  0.0005211  0.0005211  0.0005211  0.0005211   4330242D
               -9              45               4              HB  0.0004917  0.0004917  0.0004917  0.0004917   4340242D
              -10              45               1              HB  0.0010810  0.0010810  0.0010810  0.0010810   4310282D
              -10              45               2              HB  0.0005749  0.0005749  0.0005749  0.0005749   4320282D
              -10              45               3              HB  0.0005488  0.0005488  0.0005488  0.0005488   4330282D
              -10              45               4              HB  0.0004700  0.0004700  0.0004700  0.0004700   4340282D
              -11              45               1              HB  0.0008931  0.0008931  0.0008931  0.0008931   43102C2D
              -11              45               2              HB  0.0006129  0.0006129  0.0006129  0.0006129   43202C2D
              -11              45               3              HB  0.0005153  0.0005153  0.0005153  0.0005153   43302C2D
              -11              45               4              HB  0.0004482  0.0004482  0.0004482  0.0004482   43402C2D
              -12              45               1              HB  0.0009062  0.0009062  0.0009062  0.0009062   4310302D
              -12              45               2              HB  0.0006008  0.0006008  0.0006008  0.0006008   4320302D
              -12              45               3              HB  0.0006081  0.0006081  0.0006081  0.0006081   4330302D
              -12              45               4              HB  0.0005223  0.0005223  0.0005223  0.0005223   4340302D
              -13              45               1              HB  0.0009450  0.0009450  0.0009450  0.0009450   4310342D
              -13              45               2              HB  0.0005485  0.0005485  0.0005485  0.0005485   4320342D
              -13              45               3              HB  0.0005596  0.0005596  0.0005596  0.0005596   4330342D
              -13              45               4              HB  0.0003795  0.0003795  0.0003795  0.0003795   4340342D
              -14              45               1              HB  0.0009721  0.0009721  0.0009721  0.0009721   4310382D
              -14              45               2              HB  0.0005062  0.0005062  0.0005062  0.0005062   4320382D
              -14              45               3              HB  0.0005360  0.0005360  0.0005360  0.0005360   4330382D
              -14              45               4              HB  0.0003364  0.0003364  0.0003364  0.0003364   4340382D
              -15              45               1              HB  0.0009354  0.0009354  0.0009354  0.0009354   43103C2D
              -15              45               2              HB  0.0004848  0.0004848  0.0004848  0.0004848   43203C2D
              -15              45               3              HB  0.0004987  0.0004987  0.0004987  0.0004987   43303C2D
              -15              45               4              HB  0.0003690  0.0003690  0.0003690  0.0003690   43403C2D
              -16              45               1              HB  0.0007255  0.0007255  0.0007255  0.0007255   4310402D
              -16              45               2              HB  0.0006575  0.0006575  0.0006575  0.0006575   4320402D
              -16              45               3              HB  0.0004067  0.0004067  0.0004067  0.0004067   4330402D
               -1              46               1              HB  0.0015434  0.0015434  0.0015434  0.0015434   4310042E
               -1              46               2              HB  0.0006387  0.0006387  0.0006387  0.0006387   4320042E
               -1              46               3              HB  0.0005815  0.0005815  0.0005815  0.0005815   4330042E
               -1              46               4              HB  0.0004906  0.0004906  0.0004906  0.0004906   4340042E
               -2              46               1              HB  0.0026535  0.0026535  0.0026535  0.0026535   4310082E
               -2              46               2              HB  0.0006454  0.0006454  0.0006454  0.0006454   4320082E
               -2              46               3              HB  0.0005303  0.0005303  0.0005303  0.0005303   4330082E
               -2              46               4              HB  0.0005925  0.0005925  0.0005925  0.0005925   4340082E
               -3              46               1              HB  0.0014867  0.0014867  0.0014867  0.0014867   43100C2E
               -3              46               2              HB  0.0005556  0.0005556  0.0005556  0.0005556   43200C2E
               -3              46               3              HB  0.0005213  0.0005213  0.0005213  0.0005213   43300C2E
               -3              46               4              HB  0.0005755  0.0005755  0.0005755  0.0005755   43400C2E
               -4              46               1              HB  0.0013952  0.0013952  0.0013952  0.0013952   4310102E
               -4              46               2              HB  0.0006112  0.0006112  0.0006112  0.0006112   4320102E
               -4              46               3              HB  0.0005273  0.0005273  0.0005273  0.0005273   4330102E
               -4              46               4              HB  0.0004554  0.0004554  0.0004554  0.0004554   4340102E
               -5              46               1              HB  0.0013700  0.0013700  0.0013700  0.0013700   4310142E
               -5              46               2              HB  0.0007071  0.0007071  0.0007071  0.0007071   4320142E
               -5              46               3              HB  0.0005493  0.0005493  0.0005493  0.0005493   4330142E
               -5              46               4              HB  0.0004199  0.0004199  0.0004199  0.0004199   4340142E
               -6              46               1              HB  0.0011069  0.0011069  0.0011069  0.0011069   4310182E
               -6              46               2              HB  0.0005698  0.0005698  0.0005698  0.0005698   4320182E
               -6              46               3              HB  0.0005011  0.0005011  0.0005011  0.0005011   4330182E
               -6              46               4              HB  0.0004459  0.0004459  0.0004459  0.0004459   4340182E
               -7              46               1              HB  0.0014622  0.0014622  0.0014622  0.0014622   43101C2E
               -7              46               2              HB  0.0005800  0.0005800  0.0005800  0.0005800   43201C2E
               -7              46               3              HB  0.0004518  0.0004518  0.0004518  0.0004518   43301C2E
               -7              46               4              HB  0.0004454  0.0004454  0.0004454  0.0004454   43401C2E
               -8              46               1              HB  0.0013139  0.0013139  0.0013139  0.0013139   4310202E
               -8              46               2              HB  0.0005803  0.0005803  0.0005803  0.0005803   4320202E
               -8              46               3              HB  0.0004696  0.0004696  0.0004696  0.0004696   4330202E
               -8              46               4              HB  0.0004631  0.0004631  0.0004631  0.0004631   4340202E
               -9              46               1              HB  0.0010410  0.0010410  0.0010410  0.0010410   4310242E
               -9              46               2              HB  0.0005427  0.0005427  0.0005427  0.0005427   4320242E
               -9              46               3              HB  0.0004497  0.0004497  0.0004497  0.0004497   4330242E
               -9              46               4              HB  0.0004349  0.0004349  0.0004349  0.0004349   4340242E
              -10              46               1              HB  0.0010055  0.0010055  0.0010055  0.0010055   4310282E
              -10              46               2              HB  0.0004875  0.0004875  0.0004875  0.0004875   4320282E
              -10              46               3              HB  0.0004529  0.0004529  0.0004529  0.0004529   4330282E
              -10              46               4              HB  0.0004538  0.0004538  0.0004538  0.0004538   4340282E
              -11              46               1              HB  0.0008844  0.0008844  0.0008844  0.0008844   43102C2E
              -11              46               2              HB  0.0005548  0.0005548  0.0005548  0.0005548   43202C2E
              -11              46               3              HB  0.0004816  0.0004816  0.0004816  0.0004816   43302C2E
              -11              46               4              HB  0.0004417  0.0004417  0.0004417  0.0004417   43402C2E
              -12              46               1              HB  0.0010420  0.0010420  0.0010420  0.0010420   4310302E
              -12              46               2              HB  0.0005273  0.0005273  0.0005273  0.0005273   4320302E
              -12              46               3              HB  0.0004785  0.0004785  0.0004785  0.0004785   4330302E
              -12              46               4              HB  0.0004768  0.0004768  0.0004768  0.0004768   4340302E
              -13              46               1              HB  0.0010801  0.0010801  0.0010801  0.0010801   4310342E
              -13              46               2              HB  0.0005886  0.0005886  0.0005886  0.0005886   4320342E
              -13              46               3              HB  0.0005795  0.0005795  0.0005795  0.0005795   4330342E
              -13              46               4              HB  0.0004128  0.0004128  0.0004128  0.0004128   4340342E
              -14              46               1              HB  0.0011637  0.0011637  0.0011637  0.0011637   4310382E
              -14              46               2              HB  0.0004756  0.0004756  0.0004756  0.0004756   4320382E
              -14              46               3              HB  0.0004288  0.0004288  0.0004288  0.0004288   4330382E
              -14              46               4              HB  0.0004157  0.0004157  0.0004157  0.0004157   4340382E
              -15              46               1              HB  0.0012314  0.0012314  0.0012314  0.0012314   43103C2E
              -15              46               2              HB  0.0004617  0.0004617  0.0004617  0.0004617   43203C2E
              -15              46               3              HB  0.0004116  0.0004116  0.0004116  0.0004116   43303C2E
              -15              46               4              HB  0.0003631  0.0003631  0.0003631  0.0003631   43403C2E
              -16              46               1              HB  0.0008481  0.0008481  0.0008481  0.0008481   4310402E
              -16              46               2              HB  0.0005754  0.0005754  0.0005754  0.0005754   4320402E
              -16              46               3              HB  0.0004070  0.0004070  0.0004070  0.0004070   4330402E
               -1              47               1              HB  0.0013009  0.0013009  0.0013009  0.0013009   4310042F
               -1              47               2              HB  0.0007174  0.0007174  0.0007174  0.0007174   4320042F
               -1              47               3              HB  0.0006366  0.0006366  0.0006366  0.0006366   4330042F
               -1              47               4              HB  0.0005947  0.0005947  0.0005947  0.0005947   4340042F
               -2              47               1              HB  0.0032252  0.0032252  0.0032252  0.0032252   4310082F
               -2              47               2              HB  0.0007552  0.0007552  0.0007552  0.0007552   4320082F
               -2              47               3              HB  0.0006654  0.0006654  0.0006654  0.0006654   4330082F
               -2              47               4              HB  0.0004572  0.0004572  0.0004572  0.0004572   4340082F
               -3              47               1              HB  0.0011771  0.0011771  0.0011771  0.0011771   43100C2F
               -3              47               2              HB  0.0007130  0.0007130  0.0007130  0.0007130   43200C2F
               -3              47               3              HB  0.0006998  0.0006998  0.0006998  0.0006998   43300C2F
               -3              47               4              HB  0.0004632  0.0004632  0.0004632  0.0004632   43400C2F
               -4              47               1              HB  0.0014154  0.0014154  0.0014154  0.0014154   4310102F
               -4              47               2              HB  0.0007297  0.0007297  0.0007297  0.0007297   4320102F
               -4              47               3              HB  0.0006051  0.0006051  0.0006051  0.0006051   4330102F
               -4              47               4              HB  0.0005219  0.0005219  0.0005219  0.0005219   4340102F
               -5              47               1              HB  0.0010445  0.0010445  0.0010445  0.0010445   4310142F
               -5              47               2              HB  0.0005884  0.0005884  0.0005884  0.0005884   4320142F
               -5              47               3              HB  0.0005901  0.0005901  0.0005901  0.0005901   4330142F
               -5              47               4              HB  0.0005337  0.0005337  0.0005337  0.0005337   4340142F
               -6              47               1              HB  0.0012896  0.0012896  0.0012896  0.0012896   4310182F
               -6              47               2              HB  0.0006504  0.0006504  0.0006504  0.0006504   4320182F
               -6              47               3              HB  0.0006406  0.0006406  0.0006406  0.0006406   4330182F
               -6              47               4              HB  0.0004853  0.0004853  0.0004853  0.0004853   4340182F
               -7              47               1              HB  0.0011329  0.0011329  0.0011329  0.0011329   43101C2F
               -7              47               2              HB  0.0006580  0.0006580  0.0006580  0.0006580   43201C2F
               -7              47               3              HB  0.0006979  0.0006979  0.0006979  0.0006979   43301C2F
               -7              47               4              HB  0.0005035  0.0005035  0.0005035  0.0005035   43401C2F
               -8              47               1              HB  0.0012786  0.0012786  0.0012786  0.0012786   4310202F
               -8              47               2              HB  0.0007353  0.0007353  0.0007353  0.0007353   4320202F
               -8              47               3              HB  0.0006620  0.0006620  0.0006620  0.0006620   4330202F
