mH_GeV  XS_pb    Err_Hi     Err_Lo Sca_Hi  Sca_Lo  Pdf_Hi  Pdf_Lo
284	    3.591	 13.3      -14.1 	5.7	 	   -6.1	 	7.6		-8		
286	    3.553	 13.3      -14.1 	5.7	 	   -6.1	 	7.6		-8		
288	    3.5164	 13.3      -14.1 	5.7	 	   -6.1	 	7.6		-8		
290	    3.4811	 13.3      -14.1 	5.7	 	   -6.1	 	7.6		-8		
295	    3.3986	 13.3      -14.1 	5.7	 	   -6.1	 	7.6		-8		
300	    3.324	 13.4      -14   	5.7	 	   -6.1	 	7.7		-7.9
305	    3.539	 13.4      -13.9    5.7        -6.0     7.7     -7.9
310	    3.482	 13.4      -14.0    5.7        -6.0     7.7     -8.0
315	    3.434	 13.4      -14.0    5.7        -6.0     7.7     -8.0
320	    3.392	 13.4      -14.0    5.7        -6.0     7.7     -8.0
325	    3.364	 13.4      -14.1    5.7        -6.0     7.7     -8.1
330	    3.349	 13.5      -14.1    5.7        -6.0     7.8     -8.1
335	    3.349	 13.6      -14.0    5.7        -5.9     7.9     -8.1
340	    3.367	 13.6      -14.0    5.7        -5.9     7.9     -8.1
345	    3.405	 13.6      -14.1    5.7        -5.9     7.9     -8.2
350	    3.406	 13.7      -14.1    5.7        -5.9     8.0     -8.2
360	    3.390	 13.8      -14.1    5.8        -5.9     8.0     -8.2
370	    3.336	 13.9      -14.0    5.8        -5.8     8.1     -8.2
380	    3.235	 13.9      -13.8    5.8        -5.6     8.1     -8.2
390	    3.093	 14.0      -13.7    5.8        -5.5     8.2     -8.2
400	    2.924	 14.0      -13.6    5.8        -5.4     8.2     -8.2
420	    2.552	 14.1      -13.6    5.8        -5.3     8.3     -8.3
440	    2.180	 14.3      -13.7    5.8        -5.3     8.5     -8.4
450	    2.003	 14.4      -13.6    5.8        -5.2     8.6     -8.4
460	    1.837	 14.5      -13.6    5.8        -5.2     8.7     -8.4
480	    1.538	 14.7      -13.7    5.8        -5.2     8.9     -8.5
500	    1.283	 14.9      -13.6    5.8        -5.1     9.1     -8.5
520	    1.069	 15.0      -13.7    5.8        -5.1     9.2     -8.6
540	    0.8912	 15.2      -13.7    5.8        -5.1     9.4     -8.6
550	    0.8141	 15.2      -13.8    5.8        -5.1     9.4     -8.7
560	    0.7442	 15.3      -13.8    5.9        -5.1     9.4     -8.7
580	    0.6229	 15.4      -13.8    5.9        -5.1     9.5     -8.7
600	    0.5230	 15.4      -13.8    5.9        -5.0     9.5     -8.8
620	    0.4403	 15.5      -13.9    5.9        -5.0     9.6     -8.9
640	    0.3718	 15.6      -14.0    5.9        -5.0     9.7     -9.0
