   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv   trace       t
    MH-F       3       0      12      12     340       0       2      17      15    0.00       1
    MH-F       3       0      13      13     297       0       2      15      12    0.00       1
    MH-F       3       0      14      14     320       0       2      16      14    0.00       1
    MH-F       3       0      15      15     321       0       2      16      15    0.00       1
    MH-F       3       0      16      16     299       0       2      15      13    0.00       1
    MH-F       3       0      17      17     300       0       2      15      14    0.00       1
    MH-F       3       0      18  CALIB0     298      -1      -1      15      12    0.00       0
    MH-F       3       0      19      18     277       0       1      14      13    0.00       1
    MH-F       3       0      20      19     275       0       1      14      11    0.00       1
    MH-F       3       0      21      20     252       0       1      13      12    0.00       1
    MH-F       3       0      22      21     276       0       1      14      12    0.00       1
    MH-F       3       0      23      22     228       0       1      12      11    0.00       1
    MH-F       3       0      24      23     227       0       1      12      10    0.00       1
    MH-F       3       0      25      24     251       0       1      13      11    0.00       1
    MH-F       3       0      26      25     250       0       1      13      10    0.00       1
    MH-F       3       0      27      26     226       0       1      12       9    0.00       1
    MH-F       3       0      28      27     248       0       3      13       8    0.00       1
    MH-F       3       0      29      28     225       0       3      12       8    0.00       1
    MH-F       3       0      30      29     274       0       3      14      10    0.00       1
    MH-F       3       0      31      30     249       0       3      13       9    0.00       1
    MH-F       3       0      32      31     272       0       3      14       8    0.00       1
    MH-F       3       0      33      32     247       0       3      13       7    0.00       1
    MH-F       3       0      34      33     273       0       3      14       9    0.00       1
    MH-F       3       0      35      34     224       0       3      12       7    0.00       1
    MH-F       3       0      36      35     223       0       3      12       6    0.00       1
    MH-F       3       1       0      36     334       2       0      17       9    0.00       1
    MH-F       3       1       1      37     333       2       0      17       8    0.00       1
    MH-F       3       1       2      38     291       2       0      15       6    0.00       1
    MH-F       3       1       3      39     335       2       0      17      10    0.00       1
    MH-F       3       1       4      40     315       2       0      16       9    0.00       1
    MH-F       3       1       5      41     293       2       0      15       8    0.00       1
    MH-F       3       1       6      42     313       2       0      16       7    0.00       1
    MH-F       3       1       7      43     292       2       0      15       7    0.00       1
    MH-F       3       1       8      44     314       2       0      16       8    0.00       1
    MH-F       3       1       9      45     331       2       2      17       6    0.00       1
    MH-F       3       1      10      46     332       2       2      17       7    0.00       1
    MH-F       3       1      11      47     312       2       2      16       6    0.00       1
    MH-F       3       1      12      48     330       2       2      17       5    0.00       1
    MH-F       3       1      13      49     310       2       2      16       4    0.00       1
    MH-F       3       1      14      50     311       2       2      16       5    0.00       1
    MH-F       3       1      15      51     290       2       2      15       5    0.00       1
    MH-F       3       1      16      52     289       2       2      15       4    0.00       1
    MH-F       3       1      17      53     288       2       2      15       3    0.00       1
    MH-F       3       1      18  CALIB1     268      -1      -1      14       4    0.00       0
    MH-F       3       1      19      54     267       2       1      14       4    0.00       1
    MH-F       3       1      20      55     241       2       1      13       1    0.00       1
    MH-F       3       1      21      56     266       2       1      14       3    0.00       1
    MH-F       3       1      22      57     265       2       1      14       2    0.00       1
    MH-F       3       1      23      58     242       2       1      13       2    0.00       1
    MH-F       3       1      24      59     217       2       1      12       0    0.00       1
    MH-F       3       1      25      60     219       2       1      12       2    0.00       1
    MH-F       3       1      26      61     218       2       1      12       1    0.00       1
    MH-F       3       1      27      62     243       2       1      13       3    0.00       1
    MH-F       3       1      28      63     269       2       3      14       5    0.00       1
    MH-F       3       1      29      64     271       2       3      14       7    0.00       1
    MH-F       3       1      30      65     270       2       3      14       6    0.00       1
    MH-F       3       1      31      66     244       2       3      13       4    0.00       1
    MH-F       3       1      32      67     220       2       3      12       3    0.00       1
    MH-F       3       1      33      68     246       2       3      13       6    0.00       1
    MH-F       3       1      34      69     221       2       3      12       4    0.00       1
    MH-F       3       1      35      70     245       2       3      13       5    0.00       1
    MH-F       3       1      36      71     222       2       3      12       5    0.00       1
    MH-F       4       0       0       0     189       0       0      10      18    0.00       1
    MH-F       4       0       1       1     213       0       0      11      19    0.00       1
    MH-F       4       0       2       2     235       0       0      12      18    0.00       1
    MH-F       4       0       3       3     212       0       0      11      18    0.00       1
    MH-F       4       0       4       4     260       0       0      13      20    0.00       1
    MH-F       4       0       5       5     237       0       0      12      20    0.00       1
    MH-F       4       0       6       6     284       0       0      14      20    0.00       1
    MH-F       4       0       7       7     259       0       0      13      19    0.00       1
    MH-F       4       0       8       8     236       0       0      12      19    0.00       1
    MH-F       4       0       9       9     328       0       2      16      22    0.00       1
    MH-F       4       0      10      10     285       0       2      14      21    0.00       1
    MH-F       4       0      11      11     307       0       2      15      21    0.00       1
    MH-F       4       0      12      12     348       0       2      17      23    0.00       1
    MH-F       4       0      13      13     286       0       2      14      22    0.00       1
    MH-F       4       0      14      14     261       0       2      13      21    0.00       1
    MH-F       4       0      15      15     308       0       2      15      22    0.00       1
    MH-F       4       0      16      16     329       0       2      16      23    0.00       1
    MH-F       4       0      17      17     309       0       2      15      23    0.00       1
    MH-F       4       0      18  CALIB0     262      -1      -1      13      21    0.00       0
    MH-F       4       0      19      18     287       0       1      14      23    0.00       1
    MH-F       4       0      20      19     240       0       1      12      23    0.00       1
    MH-F       4       0      21      20     264       0       1      13      23    0.00       1
    MH-F       4       0      22      21     263       0       1      13      22    0.00       1
    MH-F       4       0      23      22     239       0       1      12      22    0.00       1
    MH-F       4       0      24      23     215       0       1      11      21    0.00       1
    MH-F       4       0      25      24     216       0       1      11      22    0.00       1
    MH-F       4       0      26      25     238       0       1      12      21    0.00       1
    MH-F       4       0      27      26     192       0       1      10      21    0.00       1
    MH-F       4       0      28      27     169       0       3       9      19    0.00       1
    MH-F       4       0      29      28     190       0       3      10      19    0.00       1
    MH-F       4       0      30      29     214       0       3      11      20    0.00       1
    MH-F       4       0      31      30     191       0       3      10      20    0.00       1
    MH-F       4       0      32      31     168       0       3       9      18    0.00       1
    MH-F       4       0      33      32     147       0       3       8      19    0.00       1
    MH-F       4       0      34      33     146       0       3       8      18    0.00       1
    MH-F       4       0      35      34     170       0       3       9      20    0.00       1
    MH-F       4       0      36      35     127       0       3       7      18    0.00       1
    MH-F       4       1       0      36     188       2       0      10      17    0.00       1
    MH-F       4       1       1      37     187       2       0      10      16    0.00       1
    MH-F       4       1       2      38     211       2       0      11      17    0.00       1
    MH-F       4       1       3      39     167       2       0       9      17    0.00       1
    MH-F       4       1       4      40     166       2       0       9      16    0.00       1
    MH-F       4       1       5      41     144       2       0       8      16    0.00       1
    MH-F       4       1       6      42     143       2       0       8      15    0.00       1
    MH-F       4       1       7      43     124       2       0       7      15    0.00       1
    MH-F       4       1       8      44     165       2       0       9      15    0.00       1
    MH-F       4       1       9      45     104       2       2       6      13    0.00       1
    MH-F       4       1      10      46     142       2       2       8      14    0.00       1
    MH-F       4       1      11      47     123       2       2       7      14    0.00       1
    MH-F       4       1      12      48     122       2       2       7      13    0.00       1
    MH-F       4       1      13      49     105       2       2       6      14    0.00       1
    MH-F       4       1      14      50     103       2       2       6      12    0.00       1
    MH-F       4       1      15      51      85       2       2       5      12    0.00       1
    MH-F       4       1      16      52      86       2       2       5      13    0.00       1
    MH-F       4       1      17      53      69       2       2       4      12    0.00       1
    MH-F       4       1      18  CALIB1      88      -1      -1       5      14    0.00       0
    MH-F       4       1      19      54      54       2       1       3      12    0.00       1
    MH-F       4       1      20      55      41       2       1       2      13    0.00       1
    MH-F       4       1      21      56      25       2       1       1      12    0.00       1
    MH-F       4       1      22      57      40       2       1       2      12    0.00       1
    MH-F       4       1      23      58      70       2       1       4      13    0.00       1
    MH-F       4       1      24      59      55       2       1       3      13    0.00       1
    MH-F       4       1      25      60      87       2       1       5      14    0.00       1
    MH-F       4       1      26      61      71       2       1       4      14    0.00       1
    MH-F       4       1      27      62      56       2       1       3      14    0.00       1
    MH-F       4       1      28      63     145       2       3       8      17    0.00       1
    MH-F       4       1      29      64     106       2       3       6      15    0.00       1
    MH-F       4       1      30      65     125       2       3       7      16    0.00       1
    MH-F       4       1      31      66     107       2       3       6      16    0.00       1
    MH-F       4       1      32      67     126       2       3       7      17    0.00       1
    MH-F       4       1      33      68      90       2       3       5      16    0.00       1
    MH-F       4       1      34      69     108       2       3       6      17    0.00       1
    MH-F       4       1      35      70      89       2       3       5      15    0.00       1
    MH-F       4       1      36      71      72       2       3       4      15    0.00       1
    MH-F       5       0       0       0     256       0       0      13      16    0.00       1
    MH-F       5       0       1       1     232       0       0      12      15    0.00       1
    MH-F       5       0       2       2     281       0       0      14      17    0.00       1
    MH-F       5       0       3       3     257       0       0      13      17    0.00       1
    MH-F       5       0       4       4     233       0       0      12      16    0.00       1
    MH-F       5       0       5       5     209       0       0      11      15    0.00       1
    MH-F       5       0       6       6     186       0       0      10      15    0.00       1
    MH-F       5       0       7       7     234       0       0      12      17    0.00       1
    MH-F       5       0       8       8     210       0       0      11      16    0.00       1
    MH-F       5       0       9       9     141       0       2       8      13    0.00       1
    MH-F       5       0      10      10     185       0       2      10      14    0.00       1
    MH-F       5       0      11      11     164       0       2       9      14    0.00       1
    MH-F       5       0      12      12     121       0       2       7      12    0.00       1
    MH-F       5       0      13      13     207       0       2      11      14    0.00       1
    MH-F       5       0      14      14     163       0       2       9      13    0.00       1
    MH-F       5       0      15      15     140       0       2       8      12    0.00       1
    MH-F       5       0      16      16     184       0       2      10      13    0.00       1
    MH-F       5       0      17      17     162       0       2       9      12    0.00       1
    MH-F       5       0      18  CALIB0     208      -1      -1      11      14    0.00       0
    MH-F       5       0      19      18     183       0       1      10      12    0.00       1
    MH-F       5       0      20      19     231       0       1      12      14    0.00       1
    MH-F       5       0      21      20     205       0       1      11      12    0.00       1
    MH-F       5       0      22      21     206       0       1      11      13    0.00       1
    MH-F       5       0      23      22     229       0       1      12      12    0.00       1
    MH-F       5       0      24      23     253       0       1      13      13    0.00       1
    MH-F       5       0      25      24     230       0       1      12      13    0.00       1
    MH-F       5       0      26      25     254       0       1      13      14    0.00       1
    MH-F       5       0      27      26     278       0       1      14      14    0.00       1
    MH-F       5       0      28      27     323       0       3      16      17    0.00       1
    MH-F       5       0      29      28     301       0       3      15      15    0.00       1
    MH-F       5       0      30      29     255       0       3      13      15    0.00       1
    MH-F       5       0      31      30     279       0       3      14      15    0.00       1
    MH-F       5       0      32      31     302       0       3      15      16    0.00       1
    MH-F       5       0      33      32     303       0       3      15      17    0.00       1
    MH-F       5       0      34      33     280       0       3      14      16    0.00       1
    MH-F       5       0      35      34     322       0       3      16      16    0.00       1
    MH-F       5       0      36      35     342       0       3      17      17    0.00       1
    MH-F       5       1       0      36     283       2       0      14      19    0.00       1
    MH-F       5       1       1      37     306       2       0      15      20    0.00       1
    MH-F       5       1       2      38     345       2       0      17      20    0.00       1
    MH-F       5       1       3      39     258       2       0      13      18    0.00       1
    MH-F       5       1       4      40     282       2       0      14      18    0.00       1
    MH-F       5       1       5      41     304       2       0      15      18    0.00       1
    MH-F       5       1       6      42     326       2       0      16      20    0.00       1
    MH-F       5       1       7      43     325       2       0      16      19    0.00       1
    MH-F       5       1       8      44     305       2       0      15      19    0.00       1
    MH-F       5       1       9      45     347       2       2      17      22    0.00       1
    MH-F       5       1      10      46     327       2       2      16      21    0.00       1
    MH-F       5       1      11      47     346       2       2      17      21    0.00       1
    MH-F       5       1      12      48     366       2       2      18      23    0.00       1
    MH-F       5       1      13      49     384       2       2      19      23    0.00       1
    MH-F       5       1      14      50     365       2       2      18      22    0.00       1
    MH-F       5       1      15      51     364       2       2      18      21    0.00       1
    MH-F       5       1      16      52     383       2       2      19      22    0.00       1
    MH-F       5       1      17      53     401       2       2      20      23    0.00       1
    MH-F       5       1      18  CALIB1     382      -1      -1      19      21    0.00       0
    MH-F       5       1      19      54     381       2       1      19      21    0.00       1
    MH-F       5       1      20      55     431       2       1      22      23    0.00       1
    MH-F       5       1      21      56     417       2       1      21      23    0.00       1
    MH-F       5       1      22      57     400       2       1      20      22    0.00       1
    MH-F       5       1      23      58     416       2       1      21      22    0.00       1
    MH-F       5       1      24      59     430       2       1      22      22    0.00       1
    MH-F       5       1      25      60     399       2       1      20      21    0.00       1
    MH-F       5       1      26      61     415       2       1      21      21    0.00       1
    MH-F       5       1      27      62     444       2       1      23      23    0.00       1
    MH-F       5       1      28      63     363       2       3      18      20    0.00       1
    MH-F       5       1      29      64     324       2       3      16      18    0.00       1
    MH-F       5       1      30      65     344       2       3      17      19    0.00       1
    MH-F       5       1      31      66     380       2       3      19      20    0.00       1
    MH-F       5       1      32      67     398       2       3      20      20    0.00       1
    MH-F       5       1      33      68     343       2       3      17      18    0.00       1
    MH-F       5       1      34      69     379       2       3      19      19    0.00       1
    MH-F       5       1      35      70     362       2       3      18      19    0.00       1
    MH-F       5       1      36      71     361       2       3      18      18    0.00       1
    ML-T       0       0       0       0      89       0       0       7       4    0.00       1
    ML-T       0       0       1       1      76       0       0       6       5    0.00       1
    ML-T       0       0       2       2      75       0       0       6       4    0.00       1
    ML-T       0       0       3       3      91       0       0       7       5    0.00       1
    ML-T       0       0       4       4      77       0       1       6       6    0.00       1
    ML-T       0       0       5       5      78       0       1       6       7    0.00       1
    ML-T       0       0       6       6      92       0       1       7       6    0.00       1
    ML-T       0       0       7       7      93       0       1       7       7    0.00       1
    ML-T       0       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       0       9       9      59       0       2       5       4    0.00       1
    ML-T       0       0      10      10      47       0       2       4       4    0.00       1
    ML-T       0       0      11      11      60       0       2       5       5    0.00       1
    ML-T       0       0      12      12      48       0       2       4       5    0.00       1
    ML-T       0       0      13      13      63       0       3       5       7    0.00       1
    ML-T       0       0      14      14      61       0       3       5       6    0.00       1
    ML-T       0       0      15      15      49       0       3       4       6    0.00       1
    ML-T       0       0      16      16      50       0       3       4       7    0.00       1
    ML-T       0       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       0      18  CALIB0      13      -1      -1       1       3    0.00       0
    ML-T       0       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       0      20      19      35       1       0       3       5    0.00       1
    ML-T       0       0      21      20      25       1       0       2       5    0.00       1
    ML-T       0       0      22      21      34       1       0       3       4    0.00       1
    ML-T       0       0      23      22      24       1       0       2       4    0.00       1
    ML-T       0       0      24      23      37       1       1       3       6    0.00       1
    ML-T       0       0      25      24      26       1       1       2       6    0.00       1
    ML-T       0       0      26      25      38       1       1       3       7    0.00       1
    ML-T       0       0      27      26      27       1       1       2       7    0.00       1
    ML-T       0       0      28      27      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       0      29      28       7       1       2       0       6    0.00       1
    ML-T       0       0      30      29       8       1       2       0       7    0.00       1
    ML-T       0       0      31      30      17       1       2       1       6    0.00       1
    ML-T       0       0      32      31      18       1       2       1       7    0.00       1
    ML-T       0       0      33      32      16       1       3       1       5    0.00       1
    ML-T       0       0      34      33      14       1       3       1       4    0.00       1
    ML-T       0       0      35      34       6       1       3       0       5    0.00       1
    ML-T       0       0      36      35       5       1       3       0       4    0.00       1
    ML-T       0       1       0      36      46       2       0       4       3    0.00       1
    ML-T       0       1       1      37      45       2       0       4       2    0.00       1
    ML-T       0       1       2      38      58       2       0       5       3    0.00       1
    ML-T       0       1       3      39      57       2       0       5       2    0.00       1
    ML-T       0       1       4      40      74       2       1       6       3    0.00       1
    ML-T       0       1       5      41      87       2       1       7       2    0.00       1
    ML-T       0       1       6      42      73       2       1       6       2    0.00       1
    ML-T       0       1       7      43      88       2       1       7       3    0.00       1
    ML-T       0       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       1       9      45      71       2       2       6       0    0.00       1
    ML-T       0       1      10      46      72       2       2       6       1    0.00       1
    ML-T       0       1      11      47      86       2       2       7       1    0.00       1
    ML-T       0       1      12      48      85       2       2       7       0    0.00       1
    ML-T       0       1      13      49      43       2       3       4       0    0.00       1
    ML-T       0       1      14      50      55       2       3       5       0    0.00       1
    ML-T       0       1      15      51      56       2       3       5       1    0.00       1
    ML-T       0       1      16      52      44       2       3       4       1    0.00       1
    ML-T       0       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       1      18  CALIB1      90      -1      -1       7       4    0.00       0
    ML-T       0       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       1      20      55      31       3       0       3       1    0.00       1
    ML-T       0       1      21      56      21       3       0       2       1    0.00       1
    ML-T       0       1      22      57      30       3       0       3       0    0.00       1
    ML-T       0       1      23      58      20       3       0       2       0    0.00       1
    ML-T       0       1      24      59       9       3       1       1       0    0.00       1
    ML-T       0       1      25      60       2       3       1       0       1    0.00       1
    ML-T       0       1      26      61       1       3       1       0       0    0.00       1
    ML-T       0       1      27      62      10       3       1       1       1    0.00       1
    ML-T       0       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-T       0       1      29      64       4       3       2       0       3    0.00       1
    ML-T       0       1      30      65      12       3       2       1       3    0.00       1
    ML-T       0       1      31      66       3       3       2       0       2    0.00       1
    ML-T       0       1      32      67      11       3       2       1       2    0.00       1
    ML-T       0       1      33      68      33       3       3       3       3    0.00       1
    ML-T       0       1      34      69      23       3       3       2       3    0.00       1
    ML-T       0       1      35      70      32       3       3       3       2    0.00       1
    ML-T       0       1      36      71      22       3       3       2       2    0.00       1
    ML-T       1       0       0       0      64       0       0       5       8    0.00       1
    ML-T       1       0       1       1      80       0       0       6       9    0.00       1
    ML-T       1       0       2       2      79       0       0       6       8    0.00       1
    ML-T       1       0       3       3      96       0       0       7       9    0.00       1
    ML-T       1       0       4       4      98       0       1       7      11    0.00       1
    ML-T       1       0       5       5      81       0       1       6      10    0.00       1
    ML-T       1       0       6       6      67       0       1       5      10    0.00       1
    ML-T       1       0       7       7      82       0       1       6      11    0.00       1
    ML-T       1       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0       9       9      70       0       2       5      12    0.00       1
    ML-T       1       0      10      10     101       0       2       7      13    0.00       1
    ML-T       1       0      11      11      84       0       2       6      13    0.00       1
    ML-T       1       0      12      12      83       0       2       6      12    0.00       1
    ML-T       1       0      13      13      39       0       3       3       8    0.00       1
    ML-T       1       0      14      14      66       0       3       5       9    0.00       1
    ML-T       1       0      15      15      52       0       3       4       9    0.00       1
    ML-T       1       0      16      16      51       0       3       4       8    0.00       1
    ML-T       1       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0      18  CALIB0      65      -1      -1       5       8    0.00       0
    ML-T       1       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0      20      19      53       1       0       4      10    0.00       1
    ML-T       1       0      21      20      54       1       0       4      11    0.00       1
    ML-T       1       0      22      21      42       1       0       3      10    0.00       1
    ML-T       1       0      23      22      69       1       0       5      11    0.00       1
    ML-T       1       0      24      23      28       1       1       2       8    0.00       1
    ML-T       1       0      25      24      40       1       1       3       9    0.00       1
    ML-T       1       0      26      25      19       1       1       1       8    0.00       1
    ML-T       1       0      27      26      29       1       1       2       9    0.00       1
    ML-T       1       0      28      27      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0      29      28     102      -1      -1       7      14    0.00       1
    ML-T       1       0      30      29     100      -1      -1       7      12    0.00       1
    ML-T       1       0      31      30      95      -1      -1       7       8    0.00       1
    ML-T       1       0      32      31      97      -1      -1       7      10    0.00       1
    ML-T       1       0      33      32      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0      34      33      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0      35      34      -1      -1      -1      -1      -1    0.00      -1
    ML-T       1       0      36      35      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       0       0       0      85       0       0       7       0    0.00       1
    ML-L       0       0       1       1      71       0       0       6       0    0.00       1
    ML-L       0       0       2       2      72       0       0       6       1    0.00       1
    ML-L       0       0       3       3      86       0       0       7       1    0.00       1
    ML-L       0       0       4       4     103       0       1       8       0    0.00       1
    ML-L       0       0       5       5     104       0       1       8       1    0.00       1
    ML-L       0       0       6       6     119       0       1       9       1    0.00       1
    ML-L       0       0       7       7     120       0       1       9       2    0.00       1
    ML-L       0       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       0       9       9      73       0       2       6       2    0.00       1
    ML-L       0       0      10      10      74       0       2       6       3    0.00       1
    ML-L       0       0      11      11      87       0       2       7       2    0.00       1
    ML-L       0       0      12      12      88       0       2       7       3    0.00       1
    ML-L       0       0      13      13     105       0       3       8       2    0.00       1
    ML-L       0       0      14      14     121       0       3       9       3    0.00       1
    ML-L       0       0      15      15     122       0       3       9       4    0.00       1
    ML-L       0       0      16      16     106       0       3       8       3    0.00       1
    ML-L       0       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       0      18  CALIB0      90      -1      -1       7       4    0.00       0
    ML-L       0       0      19      18     157      -1      -1      11       9    0.00       1
    ML-L       0       0      20      19      75       1       0       6       4    0.00       1
    ML-L       0       0      21      20      91       1       0       7       5    0.00       1
    ML-L       0       0      22      21      89       1       0       7       4    0.00       1
    ML-L       0       0      23      22      76       1       0       6       5    0.00       1
    ML-L       0       0      24      23     107       1       1       8       4    0.00       1
    ML-L       0       0      25      24     123       1       1       9       5    0.00       1
    ML-L       0       0      26      25     124       1       1       9       6    0.00       1
    ML-L       0       0      27      26     108       1       1       8       5    0.00       1
    ML-L       0       0      28      27     126      -1      -1       9       8    0.00       1
    ML-L       0       0      29      28      77       1       2       6       6    0.00       1
    ML-L       0       0      30      29      61       1       2       5       6    0.00       1
    ML-L       0       0      31      30      93       1       2       7       7    0.00       1
    ML-L       0       0      32      31      92       1       2       7       6    0.00       1
    ML-L       0       0      33      32     109       1       3       8       6    0.00       1
    ML-L       0       0      34      33     110       1       3       8       7    0.00       1
    ML-L       0       0      35      34     142       1       3      10       8    0.00       1
    ML-L       0       0      36      35     125       1       3       9       7    0.00       1
    ML-L       0       1       0      36      57       2       0       5       2    0.00       1
    ML-L       0       1       1      37      45       2       0       4       2    0.00       1
    ML-L       0       1       2      38      46       2       0       4       3    0.00       1
    ML-L       0       1       3      39      58       2       0       5       3    0.00       1
    ML-L       0       1       4      40      43       2       1       4       0    0.00       1
    ML-L       0       1       5      41      56       2       1       5       1    0.00       1
    ML-L       0       1       6      42      55       2       1       5       0    0.00       1
    ML-L       0       1       7      43      44       2       1       4       1    0.00       1
    ML-L       0       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       1       9      45      31       2       2       3       1    0.00       1
    ML-L       0       1      10      46      30       2       2       3       0    0.00       1
    ML-L       0       1      11      47      20       2       2       2       0    0.00       1
    ML-L       0       1      12      48      21       2       2       2       1    0.00       1
    ML-L       0       1      13      49       9       2       3       1       0    0.00       1
    ML-L       0       1      14      50      10       2       3       1       1    0.00       1
    ML-L       0       1      15      51       1       2       3       0       0    0.00       1
    ML-L       0       1      16      52       2       2       3       0       1    0.00       1
    ML-L       0       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       1      18  CALIB1      13      -1      -1       1       3    0.00       0
    ML-L       0       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       1      20      55      32       3       0       3       2    0.00       1
    ML-L       0       1      21      56      33       3       0       3       3    0.00       1
    ML-L       0       1      22      57      22       3       0       2       2    0.00       1
    ML-L       0       1      23      58      23       3       0       2       3    0.00       1
    ML-L       0       1      24      59      11       3       1       1       2    0.00       1
    ML-L       0       1      25      60       3       3       1       0       2    0.00       1
    ML-L       0       1      26      61       4       3       1       0       3    0.00       1
    ML-L       0       1      27      62      12       3       1       1       3    0.00       1
    ML-L       0       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-L       0       1      29      64      24       3       2       2       4    0.00       1
    ML-L       0       1      30      65      14       3       2       1       4    0.00       1
    ML-L       0       1      31      66      34       3       2       3       4    0.00       1
    ML-L       0       1      32      67      35       3       2       3       5    0.00       1
    ML-L       0       1      33      68      47       3       3       4       4    0.00       1
    ML-L       0       1      34      69      59       3       3       5       4    0.00       1
    ML-L       0       1      35      70      48       3       3       4       5    0.00       1
    ML-L       0       1      36      71      60       3       3       5       5    0.00       1
    ML-L       1       0       0       0     138       0       0      10       4    0.00       1
    ML-L       1       0       1       1     153       0       0      11       5    0.00       1
    ML-L       1       0       2       2     154       0       0      11       6    0.00       1
    ML-L       1       0       3       3     139       0       0      10       5    0.00       1
    ML-L       1       0       4       4     137       0       1      10       3    0.00       1
    ML-L       1       0       5       5     151       0       1      11       3    0.00       1
    ML-L       1       0       6       6     136       0       1      10       2    0.00       1
    ML-L       1       0       7       7     152       0       1      11       4    0.00       1
    ML-L       1       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-L       1       0       9       9     168       0       2      12       5    0.00       1
    ML-L       1       0      10      10     167       0       2      12       4    0.00       1
    ML-L       1       0      11      11     180       0       2      13       5    0.00       1
    ML-L       1       0      12      12     181       0       2      13       6    0.00       1
    ML-L       1       0      13      13     193       0       3      14       6    0.00       1
    ML-L       1       0      14      14     194       0       3      14       7    0.00       1
    ML-L       1       0      15      15     203       0       3      15       7    0.00       1
    ML-L       1       0      16      16     204       0       3      15       8    0.00       1
    ML-L       1       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-L       1       0      18  CALIB0     169      -1      -1      12       5    0.00       0
    ML-L       1       0      19      18     185      -1      -1      13      10    0.00       1
    ML-L       1       0      20      19     171       1       0      12       7    0.00       1
    ML-L       1       0      21      20     170       1       0      12       6    0.00       1
    ML-L       1       0      22      21     182       1       0      13       7    0.00       1
    ML-L       1       0      23      22     183       1       0      13       8    0.00       1
    ML-L       1       0      24      23     205       1       1      15       9    0.00       1
    ML-L       1       0      25      24     195       1       1      14       8    0.00       1
    ML-L       1       0      26      25     196       1       1      14       9    0.00       1
    ML-L       1       0      27      26     206       1       1      15      10    0.00       1
    ML-L       1       0      28      27     207      -1      -1      15      11    0.00       1
    ML-L       1       0      29      28     140       1       2      10       6    0.00       1
    ML-L       1       0      30      29     141       1       2      10       7    0.00       1
    ML-L       1       0      31      30     156       1       2      11       8    0.00       1
    ML-L       1       0      32      31     155       1       2      11       7    0.00       1
    ML-L       1       0      33      32     197       1       3      14      10    0.00       1
    ML-L       1       0      34      33     172       1       3      12       8    0.00       1
    ML-L       1       0      35      34     184       1       3      13       9    0.00       1
    ML-L       1       0      36      35     173       1       3      12       9    0.00       1
    ML-R       0       0       0       0     145       0       0      10      11    0.00       1
    ML-R       0       0       1       1     159       0       0      11      10    0.00       1
    ML-R       0       0       2       2     144       0       0      10      10    0.00       1
    ML-R       0       0       3       3     161       0       0      11      11    0.00       1
    ML-R       0       0       4       4     198       0       1      14      11    0.00       1
    ML-R       0       0       5       5     187       0       1      13      11    0.00       1
    ML-R       0       0       6       6     175       0       1      12      11    0.00       1
    ML-R       0       0       7       7     174       0       1      12      10    0.00       1
    ML-R       0       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-R       0       0       9       9     199       0       2      14      12    0.00       1
    ML-R       0       0      10      10     209       0       2      15      12    0.00       1
    ML-R       0       0      11      11     210       0       2      15      13    0.00       1
    ML-R       0       0      12      12     200       0       2      14      13    0.00       1
    ML-R       0       0      13      13     201       0       3      14      14    0.00       1
    ML-R       0       0      14      14     212       0       3      15      15    0.00       1
    ML-R       0       0      15      15     211       0       3      15      14    0.00       1
    ML-R       0       0      16      16     202       0       3      14      15    0.00       1
    ML-R       0       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-R       0       0      18  CALIB0     160      -1      -1      11      10    0.00       0
    ML-R       0       0      19      18     186      -1      -1      13      10    0.00       1
    ML-R       0       0      20      19     176       1       0      12      12    0.00       1
    ML-R       0       0      21      20     188       1       0      13      12    0.00       1
    ML-R       0       0      22      21     189       1       0      13      13    0.00       1
    ML-R       0       0      23      22     177       1       0      12      13    0.00       1
